sale_id,sale_date,customer_id,product_id,rep_id,region_id,quantity,discount,total_amount,payment_mode,order_status
57,2023-05-24,117,33,12,4,1,0.05,12.36,Debit Card,Cancelled
58,2023-01-12,41,17,4,5,10,0.15,476.6,Debit Card,Delivered
59,2023-06-06,1,3,1,5,4,0,436.0,UPI,Returned
60,2023-01-28,39,12,2,1,9,0.2,254.59,Debit Card,Returned
61,2022-11-26,64,27,11,2,5,0.2,18.04,Net Banking,Delivered
62,2023-01-17,31,33,2,1,3,0,39.03,Credit Card,Cancelled
63,2023-02-15,18,30,10,5,5,0,32.2,Net Banking,Delivered
64,2023-04-13,3,24,7,1,5,0.1,33.48,Net Banking,Delivered
65,2022-09-06,119,24,19,1,8,0.2,47.62,Net Banking,Delivered
66,2022-09-09,39,1,14,1,1,0,77.63,UPI,Cancelled
67,2023-10-14,178,1,11,4,1,0.2,62.1,UPI,Returned
68,2022-04-17,53,34,8,4,7,0.05,356.97,Debit Card,Delivered
69,2023-12-30,72,6,2,2,4,0.2,387.84,Cash,Cancelled
70,2023-12-19,96,30,3,1,10,0,64.4,Debit Card,Cancelled
71,2023-10-15,101,5,19,3,10,0,806.4,Debit Card,Returned
72,2022-08-31,75,17,11,3,7,0.15,333.62,UPI,Delivered
73,2023-04-09,70,15,3,3,4,0,125.04,Credit Card,Cancelled
74,2022-06-09,28,11,15,4,8,0,380.56,Credit Card,Returned
75,2023-07-03,92,50,7,3,8,0,95.04,UPI,Returned
76,2022-05-03,24,11,10,3,10,0,475.7,UPI,Delivered
77,2022-06-01,24,46,8,3,6,0.05,231.7,Credit Card,Cancelled
78,2023-11-25,77,17,6,1,1,0.05,53.27,Net Banking,Returned
79,2023-07-18,64,7,15,2,2,0.2,105.12,Credit Card,Delivered
80,2022-01-13,16,50,8,3,3,0,35.64,UPI,Returned
81,2023-12-04,162,42,3,2,10,0.1,171.72,Credit Card,Delivered
82,2022-01-23,17,13,15,1,3,0,179.16,Credit Card,Delivered
83,2022-02-13,119,4,6,1,10,0.05,393.49,Cash,Returned
84,2022-01-31,98,44,14,4,3,0,47.13,Debit Card,Delivered
85,2022-10-09,72,29,5,2,1,0.1,5.07,Net Banking,Cancelled
86,2022-09-09,166,19,16,1,7,0.1,541.61,Credit Card,Returned
87,2022-03-31,72,25,5,2,7,0,89.11,Debit Card,Cancelled
88,2023-10-08,140,2,13,1,6,0.05,578.38,Cash,Cancelled
89,2022-12-19,145,33,11,2,7,0,91.07,Credit Card,Delivered
90,2022-11-23,153,15,1,4,5,0,156.3,Net Banking,Returned
91,2023-01-02,197,38,8,3,3,0,85.89,Debit Card,Delivered
92,2022-09-30,137,48,2,2,4,0.1,50.0,UPI,Returned
93,2022-06-27,46,16,19,2,6,0.2,460.22,Net Banking,Delivered
94,2022-01-29,181,45,12,1,10,0.1,156.96,Net Banking,Delivered
95,2022-07-12,127,35,10,2,3,0.05,129.1,Credit Card,Delivered
96,2022-02-27,60,39,8,5,1,0.1,16.49,Credit Card,Returned
97,2022-12-06,158,13,5,3,6,0.15,304.57,UPI,Delivered
98,2022-03-02,6,10,19,2,3,0.2,111.72,Net Banking,Delivered
99,2023-01-09,19,24,13,2,10,0,74.4,UPI,Delivered
100,2022-11-27,35,11,14,1,8,0.15,323.48,Debit Card,Delivered
101,2023-12-26,144,45,20,1,6,0,104.64,Debit Card,Cancelled
102,2023-01-23,79,47,10,1,3,0,62.13,Net Banking,Delivered
103,2023-02-05,198,37,2,3,3,0.1,59.24,Net Banking,Delivered
104,2022-08-15,164,37,4,2,8,0,175.52,Credit Card,Delivered
105,2022-09-01,89,21,6,4,2,0.2,25.3,Cash,Delivered
106,2022-01-12,68,14,8,2,2,0,117.94,Credit Card,Delivered
107,2022-01-02,13,25,15,2,7,0,89.11,Cash,Returned
108,2023-01-23,90,35,13,5,2,0.2,72.48,Net Banking,Returned
109,2023-10-29,195,44,8,5,3,0.05,44.77,Credit Card,Delivered
110,2022-10-29,6,21,9,2,2,0,31.62,Debit Card,Delivered
111,2023-01-20,42,47,3,4,9,0,186.39,Net Banking,Delivered
112,2023-09-21,124,46,1,2,7,0.15,241.87,Net Banking,Delivered
113,2023-03-21,41,4,4,5,6,0,248.52,Cash,Delivered
114,2023-12-15,142,47,18,4,5,0.15,88.02,UPI,Delivered
115,2022-09-01,25,4,13,5,10,0.1,372.78,Debit Card,Returned
116,2022-02-25,93,1,14,5,2,0,155.26,Cash,Cancelled
117,2022-07-24,25,2,7,5,3,0.15,258.75,Credit Card,Delivered
118,2023-04-30,30,20,13,5,8,0.05,449.69,Credit Card,Delivered
119,2023-10-20,140,25,6,1,6,0.05,72.56,Debit Card,Delivered
120,2023-04-02,12,17,15,5,8,0,448.56,UPI,Delivered
121,2023-08-01,16,10,4,3,2,0.15,79.13,Net Banking,Delivered
122,2023-02-28,194,38,8,3,9,0,257.67,Net Banking,Returned
123,2023-03-05,138,44,16,5,10,0,157.1,UPI,Returned
124,2022-03-22,102,46,2,1,9,0.1,329.26,Net Banking,Cancelled
125,2023-11-25,159,10,4,2,8,0,372.4,Debit Card,Delivered
126,2022-07-17,33,3,14,4,2,0.15,185.3,Debit Card,Returned
127,2023-10-05,38,39,9,3,6,0.15,93.43,Credit Card,Delivered
128,2023-02-02,143,26,18,5,6,0.2,30.91,Net Banking,Delivered
129,2023-04-15,4,45,20,3,10,0.1,156.96,Credit Card,Returned
130,2023-03-01,39,10,19,1,10,0.1,418.95,Credit Card,Delivered
131,2023-07-31,200,7,10,4,9,0,591.3,UPI,Returned
132,2023-01-28,168,32,19,4,10,0.05,257.74,Debit Card,Delivered
133,2022-10-10,104,10,20,3,10,0.15,395.68,Credit Card,Returned
134,2023-02-10,85,45,8,4,1,0.15,14.82,UPI,Returned
135,2023-01-17,6,22,10,2,5,0,63.9,Credit Card,Returned
136,2022-08-22,35,20,15,1,6,0,355.02,Net Banking,Returned
137,2023-10-24,23,13,15,4,4,0.2,191.1,Cash,Returned
138,2023-06-13,96,4,17,1,3,0,124.26,Net Banking,Delivered
139,2023-02-18,35,50,17,1,10,0,118.8,Debit Card,Delivered
140,2022-07-25,15,16,2,5,8,0,767.04,Debit Card,Delivered
141,2022-10-08,95,30,17,4,7,0.15,38.32,Credit Card,Delivered
142,2022-09-05,96,32,20,1,8,0,217.04,Net Banking,Returned
143,2023-07-19,90,23,6,5,5,0.15,41.48,UPI,Delivered
144,2022-01-29,99,4,6,3,10,0.2,331.36,Debit Card,Delivered
145,2023-10-25,58,44,7,1,5,0.15,66.77,Net Banking,Returned
146,2022-01-21,200,50,1,4,8,0,95.04,Net Banking,Delivered
147,2022-01-09,58,17,20,1,5,0.15,238.3,Cash,Delivered
148,2023-01-21,90,30,9,5,4,0.05,24.47,Net Banking,Delivered
149,2023-10-01,102,38,4,1,1,0.1,25.77,Net Banking,Delivered
150,2023-10-25,153,39,10,4,5,0.15,77.86,Cash,Delivered
151,2022-03-07,87,18,11,1,5,0,126.7,Debit Card,Delivered
152,2022-06-03,133,49,8,1,1,0.2,11.35,Cash,Cancelled
153,2023-11-08,82,44,5,3,1,0.15,13.35,UPI,Returned
154,2022-09-23,108,26,13,3,1,0.1,5.8,Debit Card,Cancelled
155,2022-12-18,186,46,8,3,9,0.15,310.97,UPI,Returned
156,2023-06-04,77,11,18,1,3,0,142.71,Cash,Delivered
157,2022-05-12,190,17,18,4,3,0.15,142.98,Credit Card,Delivered
158,2022-08-16,91,15,10,1,7,0.2,175.06,UPI,Delivered
159,2022-09-24,150,19,15,5,2,0.05,163.34,Net Banking,Delivered
160,2023-08-18,159,5,16,2,4,0.1,290.3,Cash,Delivered
161,2023-06-27,77,27,2,1,3,0,13.53,UPI,Delivered
162,2023-02-24,146,30,5,4,6,0.2,30.91,Credit Card,Delivered
163,2023-05-15,86,41,6,2,6,0.15,55.44,Credit Card,Delivered
164,2023-04-08,71,14,6,3,10,0.2,471.76,Cash,Delivered
165,2022-04-01,34,40,14,4,7,0.05,84.72,Cash,Returned
166,2023-01-28,2,3,18,5,4,0.15,370.6,Credit Card,Delivered
167,2022-11-26,194,34,7,3,1,0.15,45.63,Debit Card,Delivered
168,2022-08-20,178,23,10,4,3,0,29.28,Net Banking,Returned
169,2023-08-26,79,11,3,1,1,0,47.57,Cash,Delivered
170,2023-06-17,153,34,11,4,7,0.15,319.4,UPI,Delivered
171,2023-05-17,92,49,7,3,3,0.2,34.06,Credit Card,Returned
172,2022-08-22,58,47,5,1,4,0.15,70.41,Net Banking,Delivered
173,2023-06-01,44,8,12,4,1,0.05,63.44,Net Banking,Delivered
174,2023-10-01,13,39,2,2,2,0.15,31.14,Credit Card,Delivered
175,2023-12-08,30,27,15,5,7,0,31.57,UPI,Cancelled
176,2023-05-01,180,10,7,4,1,0,46.55,Credit Card,Returned
177,2023-11-10,134,18,20,2,10,0.15,215.39,Cash,Delivered
178,2022-04-18,131,47,20,3,2,0,41.42,Credit Card,Delivered
179,2023-05-25,51,39,7,5,5,0.2,73.28,Debit Card,Cancelled
180,2023-01-02,181,27,10,1,3,0,13.53,Cash,Cancelled
181,2022-08-01,177,31,11,4,4,0,161.84,Credit Card,Delivered
182,2022-04-24,147,43,16,2,3,0,39.0,Credit Card,Cancelled
183,2022-04-14,66,42,8,4,8,0,152.64,Cash,Delivered
184,2022-02-21,26,12,2,2,5,0,176.8,Cash,Delivered
185,2022-04-29,25,49,2,5,1,0.2,11.35,Debit Card,Delivered
186,2022-12-03,92,29,20,3,5,0.15,23.93,UPI,Delivered
187,2022-12-17,47,8,13,3,7,0.05,444.09,Cash,Delivered
188,2023-12-08,123,27,6,5,2,0,9.02,Debit Card,Delivered
189,2022-04-17,107,38,16,2,10,0.15,243.35,Debit Card,Returned
190,2023-09-18,98,50,12,4,10,0,118.8,Cash,Delivered
191,2023-05-15,29,27,15,5,1,0,4.51,UPI,Delivered
192,2022-01-13,181,44,17,1,10,0.15,133.54,Debit Card,Cancelled
193,2023-11-17,87,34,17,1,10,0,536.8,Debit Card,Returned
194,2023-05-09,89,43,13,4,3,0.2,31.2,Net Banking,Cancelled
195,2022-02-25,3,42,6,1,9,0.2,137.38,Cash,Returned
196,2022-06-19,20,49,16,2,6,0,85.14,UPI,Delivered
197,2022-02-21,130,15,18,4,7,0.05,207.88,Credit Card,Delivered
198,2023-04-16,114,37,15,2,2,0.2,35.1,Cash,Returned
199,2022-11-20,31,32,1,1,2,0.05,51.55,Credit Card,Returned
200,2023-07-25,141,1,3,5,10,0.1,698.67,Net Banking,Delivered
201,2023-07-30,53,42,15,4,6,0,114.48,Debit Card,Delivered
202,2023-04-11,85,36,20,4,10,0.05,311.12,Cash,Delivered
203,2022-04-27,25,49,8,5,1,0,14.19,UPI,Delivered
204,2023-07-15,134,24,4,2,1,0,7.44,Debit Card,Returned
205,2023-02-24,28,17,20,4,4,0,224.28,Cash,Delivered
206,2022-08-09,118,13,11,2,2,0.2,95.55,Credit Card,Returned
207,2023-10-11,173,38,4,4,8,0.05,217.59,Net Banking,Cancelled
208,2022-05-18,128,1,17,1,1,0.1,69.87,Net Banking,Returned
209,2023-05-10,131,50,6,3,10,0,118.8,Credit Card,Delivered
210,2023-02-01,169,39,20,4,6,0.1,98.93,Cash,Returned
211,2023-09-16,178,49,8,4,5,0.05,67.4,UPI,Delivered
212,2023-04-09,35,9,14,1,10,0.15,233.66,UPI,Cancelled
213,2023-12-20,141,21,18,5,4,0,63.24,Net Banking,Delivered
214,2022-10-25,176,23,5,2,3,0.1,26.35,UPI,Cancelled
215,2023-12-29,30,49,12,5,9,0.05,121.32,Net Banking,Cancelled
216,2023-11-15,182,27,18,5,5,0.2,18.04,Credit Card,Returned
217,2023-06-20,28,2,13,4,3,0,304.41,Debit Card,Delivered
218,2022-10-01,193,11,10,1,5,0,237.85,UPI,Delivered
219,2022-07-28,193,35,2,1,6,0.2,217.44,Credit Card,Returned
220,2023-09-23,173,48,18,4,4,0.15,47.23,Cash,Cancelled
221,2022-09-01,131,45,10,3,1,0.05,16.57,Cash,Returned
222,2023-12-03,81,36,2,5,1,0.15,27.84,Debit Card,Delivered
223,2023-09-28,200,29,8,4,6,0.2,27.02,Net Banking,Cancelled
224,2023-09-10,51,50,7,5,5,0.05,56.43,Credit Card,Delivered
225,2022-07-11,45,48,17,4,2,0.05,26.39,Cash,Delivered
226,2022-10-13,143,17,5,5,3,0.1,151.39,Credit Card,Delivered
227,2022-12-05,120,46,5,3,1,0,40.65,Net Banking,Delivered
228,2022-02-22,199,41,20,1,5,0.05,51.63,Net Banking,Cancelled
229,2023-01-02,19,46,11,2,9,0,365.85,Net Banking,Delivered
230,2022-03-11,130,11,14,4,9,0.1,385.32,Credit Card,Returned
231,2022-12-24,57,14,11,1,6,0,353.82,Debit Card,Delivered
232,2023-09-26,136,31,18,3,1,0,40.46,Cash,Delivered
233,2022-09-04,165,40,20,2,4,0,50.96,Cash,Delivered
234,2022-04-27,99,17,18,3,5,0,280.35,UPI,Cancelled
235,2023-06-11,131,29,16,3,1,0,5.63,UPI,Delivered
236,2023-06-11,22,7,6,5,9,0.1,532.17,Credit Card,Delivered
237,2022-08-04,172,41,7,2,7,0.2,60.87,Debit Card,Delivered
238,2023-07-05,180,48,14,4,2,0.15,23.61,Credit Card,Delivered
239,2023-04-16,184,22,2,1,2,0,25.56,Debit Card,Delivered
240,2022-09-15,143,5,19,5,4,0,322.56,Cash,Returned
241,2023-04-07,162,26,14,2,6,0,38.64,Credit Card,Returned
242,2023-07-02,2,42,20,5,2,0.2,30.53,Credit Card,Cancelled
243,2023-12-19,19,23,17,2,2,0,19.52,Net Banking,Delivered
244,2022-03-30,73,49,15,2,7,0.05,94.36,Cash,Delivered
245,2022-06-10,137,15,5,2,7,0.2,175.06,UPI,Cancelled
246,2023-10-12,37,20,12,1,1,0.1,53.25,Debit Card,Cancelled
247,2022-05-07,11,1,19,1,10,0.05,737.48,Net Banking,Cancelled
248,2022-03-29,79,14,12,1,4,0.05,224.09,Debit Card,Cancelled
249,2022-06-14,48,15,20,4,5,0,156.3,Debit Card,Delivered
250,2023-11-19,146,4,18,4,8,0.15,281.66,Credit Card,Cancelled
251,2022-10-25,172,5,9,2,2,0,161.28,Cash,Cancelled
252,2022-12-05,92,9,8,3,2,0,54.98,Credit Card,Cancelled
253,2022-07-18,82,32,15,3,6,0.1,146.5,Net Banking,Delivered
254,2022-06-06,145,37,12,2,6,0.05,125.06,Credit Card,Delivered
255,2022-11-17,64,15,14,2,5,0.2,125.04,Debit Card,Delivered
256,2023-11-27,188,22,16,5,8,0.05,97.13,UPI,Delivered
257,2023-05-14,142,7,6,4,10,0,657.0,Debit Card,Delivered
258,2023-07-06,51,17,3,5,2,0,112.14,Credit Card,Cancelled
259,2023-08-19,149,26,19,4,4,0,25.76,UPI,Cancelled
260,2023-07-11,139,31,5,3,6,0.05,230.62,Net Banking,Delivered
261,2022-10-25,35,30,17,1,9,0,57.96,UPI,Returned
262,2023-05-30,3,43,8,1,10,0.15,110.5,Net Banking,Delivered
263,2022-05-24,115,11,6,1,10,0.1,428.13,Cash,Delivered
264,2023-01-03,11,15,16,1,4,0,125.04,UPI,Delivered
265,2022-08-28,11,43,7,1,9,0.2,93.6,Cash,Delivered
266,2023-04-26,117,3,2,4,6,0,654.0,UPI,Cancelled
267,2022-09-27,149,35,19,4,3,0.05,129.1,UPI,Returned
268,2023-08-25,168,5,17,4,5,0.05,383.04,Net Banking,Delivered
269,2023-02-20,91,23,16,1,8,0.1,70.27,Net Banking,Delivered
270,2022-05-23,113,11,8,3,2,0.1,85.63,Debit Card,Delivered
271,2022-06-03,48,11,12,4,10,0.15,404.34,Debit Card,Delivered
272,2023-03-01,85,47,4,4,8,0.15,140.83,Cash,Returned
273,2022-08-04,152,11,14,3,1,0,47.57,Debit Card,Delivered
274,2023-08-11,152,11,5,3,9,0,428.13,Debit Card,Cancelled
275,2022-02-27,43,17,6,3,9,0.05,479.4,Net Banking,Cancelled
276,2023-10-15,5,47,10,5,2,0,41.42,Net Banking,Returned
277,2023-04-28,124,11,8,2,7,0.1,299.69,Net Banking,Delivered
278,2022-07-06,160,43,17,5,5,0,65.0,Cash,Delivered
279,2023-09-03,152,5,8,3,7,0.05,536.26,Credit Card,Delivered
280,2022-01-17,52,34,17,4,7,0.2,300.61,Net Banking,Delivered
281,2022-04-09,46,31,20,2,10,0,404.6,Net Banking,Cancelled
282,2022-05-01,24,31,5,3,10,0.1,364.14,Cash,Delivered
283,2023-06-19,108,24,2,3,9,0.05,63.61,Cash,Delivered
284,2023-01-26,90,38,19,5,2,0.05,54.4,UPI,Delivered
285,2023-05-04,197,15,3,3,5,0.1,140.67,Cash,Cancelled
286,2022-09-21,49,1,1,1,10,0.1,698.67,Net Banking,Delivered
287,2022-01-08,97,42,7,3,6,0.05,108.76,Credit Card,Delivered
288,2022-06-08,110,42,19,3,5,0,95.4,Cash,Cancelled
289,2023-08-02,94,40,9,1,7,0.2,71.34,Cash,Delivered
290,2023-07-20,143,31,6,5,6,0.1,218.48,Cash,Cancelled
291,2022-09-17,79,37,12,1,7,0.15,130.54,Credit Card,Delivered
292,2022-08-24,115,45,6,1,2,0,34.88,Cash,Cancelled
293,2022-12-13,141,40,2,5,3,0.05,36.31,Credit Card,Delivered
294,2022-05-29,121,39,14,4,2,0,36.64,Debit Card,Delivered
295,2023-01-15,21,39,2,3,7,0.05,121.83,Net Banking,Cancelled
296,2022-10-21,183,39,2,4,3,0.15,46.72,Cash,Returned
297,2022-01-11,52,43,17,4,5,0,65.0,Net Banking,Delivered
298,2023-06-07,133,45,8,1,10,0,174.4,UPI,Delivered
299,2022-09-02,168,1,6,4,2,0,155.26,UPI,Returned
300,2023-11-17,102,26,19,1,4,0.1,23.18,Credit Card,Delivered
301,2022-04-03,141,19,18,5,10,0,859.7,UPI,Delivered
302,2022-08-20,156,13,15,2,7,0.1,376.24,UPI,Delivered
303,2022-06-29,105,33,4,3,9,0,117.09,UPI,Cancelled
304,2022-12-15,30,33,9,5,9,0.2,93.67,UPI,Cancelled
305,2023-12-12,114,25,19,2,8,0.2,81.47,UPI,Delivered
306,2023-04-15,175,30,19,2,1,0.05,6.12,UPI,Delivered
307,2022-03-11,98,41,8,4,4,0.2,34.78,Cash,Delivered
308,2022-12-28,133,35,1,1,5,0,226.5,Credit Card,Delivered
309,2023-02-13,173,48,11,4,2,0.1,25.0,Cash,Delivered
310,2022-11-18,91,14,19,1,5,0,294.85,Cash,Delivered
311,2022-07-24,61,48,8,4,5,0,69.45,Debit Card,Delivered
312,2022-09-13,159,23,5,2,2,0,19.52,Cash,Delivered
313,2023-09-21,2,49,18,5,1,0.2,11.35,UPI,Returned
314,2023-09-28,81,32,19,5,5,0.05,128.87,Net Banking,Delivered
315,2022-10-14,102,15,19,1,3,0,93.78,Cash,Cancelled
316,2023-05-05,139,3,17,3,6,0.05,621.3,Cash,Delivered
317,2022-05-04,179,34,15,1,6,0.15,273.77,Credit Card,Delivered
318,2023-11-22,54,25,19,4,2,0,25.46,Net Banking,Delivered
319,2022-09-23,48,36,9,4,4,0,131.0,Net Banking,Returned
320,2022-12-18,94,12,16,1,7,0,247.52,UPI,Returned
321,2023-01-09,103,18,15,5,3,0.1,68.42,Net Banking,Delivered
322,2023-12-04,59,7,9,1,4,0.1,236.52,Cash,Returned
323,2022-07-20,38,48,5,3,8,0.2,88.9,Debit Card,Delivered
324,2023-03-08,128,9,17,1,9,0.15,210.3,Cash,Delivered
325,2022-11-04,65,36,19,4,1,0.05,31.11,Debit Card,Delivered
326,2022-03-03,56,17,16,5,2,0.05,106.53,UPI,Delivered
327,2023-01-05,93,36,18,5,5,0,163.75,Cash,Delivered
328,2022-05-05,90,44,20,5,4,0.1,56.56,Net Banking,Cancelled
329,2022-06-28,200,19,12,4,6,0.15,438.45,Cash,Cancelled
330,2023-04-03,21,25,20,3,5,0.05,60.47,Debit Card,Delivered
331,2023-10-18,87,27,20,1,10,0.05,42.84,Credit Card,Delivered
332,2022-06-15,88,15,11,1,6,0.15,159.43,UPI,Delivered
333,2023-09-12,166,26,9,1,8,0.2,41.22,Net Banking,Delivered
334,2023-06-18,116,27,6,5,3,0.2,10.82,Debit Card,Delivered
335,2022-08-29,170,17,3,5,4,0,224.28,Credit Card,Returned
336,2022-04-08,17,31,18,1,1,0,40.46,Net Banking,Returned
337,2022-03-27,27,17,20,1,3,0,168.21,UPI,Returned
338,2022-08-23,64,48,10,2,8,0.15,94.45,Debit Card,Delivered
339,2023-06-24,44,2,2,4,6,0.2,487.06,Cash,Delivered
340,2023-04-24,139,18,18,3,8,0,202.72,Debit Card,Cancelled
341,2023-08-29,153,30,19,4,7,0.1,40.57,UPI,Cancelled
342,2022-12-22,124,35,8,2,2,0.05,86.07,UPI,Delivered
343,2023-02-27,67,10,10,1,1,0,46.55,Debit Card,Cancelled
344,2022-12-19,74,31,18,1,1,0.15,34.39,Cash,Returned
345,2022-11-03,3,50,14,1,5,0.1,53.46,Credit Card,Delivered
346,2023-07-16,96,13,14,1,9,0.05,510.61,Debit Card,Returned
347,2022-06-17,184,48,13,1,7,0,97.23,Credit Card,Delivered
348,2023-03-09,161,16,17,1,10,0.2,767.04,UPI,Delivered
349,2023-10-27,191,35,9,4,7,0,317.1,Debit Card,Delivered
350,2022-05-20,75,8,15,3,10,0.05,634.41,Net Banking,Delivered
351,2023-05-19,49,21,1,1,3,0,47.43,Credit Card,Cancelled
352,2022-07-10,27,19,9,1,3,0.15,219.22,Credit Card,Returned
353,2022-08-27,24,10,1,3,8,0,372.4,Cash,Delivered
354,2022-11-16,128,24,15,1,1,0,7.44,Debit Card,Delivered
355,2022-02-27,69,50,13,1,2,0.1,21.38,Debit Card,Returned
356,2022-07-16,65,25,1,4,2,0.2,20.37,Cash,Delivered
357,2023-03-30,64,48,2,2,4,0.05,52.78,Net Banking,Delivered
358,2023-11-13,54,31,13,4,5,0,202.3,Credit Card,Delivered
359,2023-07-17,134,8,9,2,8,0.15,454.1,Debit Card,Delivered
360,2023-01-05,14,43,7,5,2,0,26.0,UPI,Returned
361,2022-01-16,43,18,19,3,2,0.05,48.15,Credit Card,Delivered
362,2022-02-13,149,45,16,4,10,0,174.4,Credit Card,Delivered
363,2022-09-12,41,32,3,5,10,0,271.3,Credit Card,Delivered
364,2022-12-31,166,10,18,1,2,0,93.1,Debit Card,Returned
365,2022-11-21,143,42,12,5,8,0.15,129.74,Credit Card,Delivered
366,2023-12-07,97,23,5,3,5,0,48.8,Cash,Returned
367,2023-07-27,76,35,16,5,4,0.1,163.08,Net Banking,Delivered
368,2022-12-23,83,47,15,5,5,0.2,82.84,Net Banking,Cancelled
369,2022-06-14,18,34,5,5,8,0,429.44,Net Banking,Delivered
370,2023-01-11,117,1,17,4,7,0.15,461.9,Credit Card,Delivered
371,2023-09-27,94,50,20,1,4,0,47.52,Net Banking,Delivered
372,2023-02-01,49,34,16,1,9,0,483.12,UPI,Cancelled
373,2022-11-27,105,42,11,3,2,0,38.16,Credit Card,Cancelled
374,2022-02-14,34,12,2,4,4,0,141.44,Debit Card,Returned
375,2022-04-12,9,37,13,2,8,0.1,157.97,Net Banking,Cancelled
376,2022-09-20,13,24,8,2,10,0.15,63.24,Credit Card,Delivered
377,2022-08-02,168,32,3,4,8,0.2,173.63,UPI,Delivered
378,2023-07-26,191,27,12,4,1,0.2,3.61,UPI,Cancelled
379,2023-06-26,11,47,3,1,5,0,103.55,Net Banking,Delivered
380,2022-04-10,26,47,8,2,9,0.05,177.07,Debit Card,Delivered
381,2023-06-23,169,16,19,4,3,0.1,258.88,Cash,Cancelled
